component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,4.641122690146695,0.2729767134677803,0.2729767134677803
PC2,3.4537284259103553,0.20313779614506586,0.4761145096128462
PC3,1.4984083092469886,0.08813181701906869,0.5642463266319149
PC4,1.2716612311711992,0.074795243889261,0.6390415705211758
PC5,1.0583222209882628,0.062247292511494995,0.7012888630326708
PC6,0.9759186376414951,0.05740056449723128,0.7586894275299021
PC7,0.8302751121203921,0.0488342555265553,0.8075236830564574
PC8,0.7309462222056897,0.04299203248451342,0.8505157155409708
PC9,0.6457761320202379,0.037982586956615896,0.8884983024975868
PC10,0.5236588949339651,0.030800022680013497,0.9192983251776002
PC11,0.40332774157999723,0.023722510413403845,0.9430208355910041
PC12,0.30150652606109324,0.01773369636359332,0.9607545319545975
PC13,0.24276278857267544,0.014278568484632747,0.9750331004392302
PC14,0.20689944317849926,0.012169195642486952,0.9872022960817172
PC15,0.17217263221087603,0.010126670296780346,0.9973289663784976
PC16,0.04540099544693566,0.0026703483947067186,0.9999993147732043
PC17,1.1650157221155911e-05,6.852267957418617e-07,1.0
