sample_size,noise_level,repetitions,n_clusters,n_components_mean,n_components_std,cumulative_explained_variance_mean,cumulative_explained_variance_std,ari_mean,ari_std,nmi_mean,nmi_std,silhouette_score_mean,silhouette_score_std,calinski_harabasz_index_mean,calinski_harabasz_index_std,davies_bouldin_index_mean,davies_bouldin_index_std,matched_accuracy_mean,matched_accuracy_std
500,0.5,20,4,2.0,0.0,0.8635960099048556,0.0021325465084663753,0.9983813489373962,0.0022631539112218002,0.9970525233155432,0.004121081770355568,0.8388281491039384,0.004764242007865269,5785.512863604488,350.8411249794433,0.24369327720786133,0.009519875881128246,0.9993000000000001,0.0009787209698591955
500,1.0,20,4,3.0,0.0,0.8331375878461926,0.004827469846920285,0.971489672080691,0.01418469679681782,0.9621877088564308,0.01571114277460448,0.7077924569460128,0.008012606239246302,1455.426319749704,83.14508270875409,0.44484651222180605,0.01161684456085191,0.9877,0.0063668549618523095
500,1.5,20,4,5.9,0.3077935056255462,0.8219965817443882,0.00852289361056664,0.8278321322696701,0.03480327523954932,0.8308203099337096,0.024953168413392696,0.47702934528905017,0.014482023750800974,391.57581738648634,32.98652680423715,0.864076141594914,0.033240854658504626,0.9191,0.01941757207436498
500,2.0,20,4,7.6,0.5026246899500346,0.8161629852951302,0.011470278082402401,0.6765813655247417,0.046371374020280576,0.7140818636654782,0.032209839628776986,0.36829361417046164,0.014485976144098167,211.6045012204156,20.417350714759984,1.0837717402812488,0.10424694040059827,0.8267,0.043087548573866
1000,0.5,20,4,2.0,0.0,0.8635970745919959,0.0012018060380290928,0.9975805229172561,0.0027395161227326613,0.9954904105846409,0.00493880564910036,0.8372506273632334,0.003446462010842344,11246.888429772851,603.9259750214512,0.24725939552166115,0.005215910242975916,0.99895,0.0011909748329127492
1000,1.0,20,4,3.0,0.0,0.8314067454882714,0.0044994327938231325,0.9681320432291063,0.008097409153011565,0.9572238140524292,0.008514951859175633,0.7059296429682576,0.008052129500628944,2874.2330684573417,216.79179514478741,0.4475591226297352,0.01336660494295164,0.9863,0.003525844430397969
1000,1.5,20,4,6.0,0.0,0.8182667609357777,0.004204622612822135,0.8355786300855195,0.02531091756356119,0.8363590463779543,0.019050621318206604,0.4741939451220885,0.006494098109227012,771.4730377378534,43.99579124404134,0.870848158365971,0.017577920700300606,0.924,0.014297589049611783
1000,2.0,20,4,7.95,0.223606797749979,0.8196108294966462,0.00646932640693743,0.6840380193855325,0.023935451717410447,0.7159202388076369,0.021529480347100238,0.3632360490927928,0.007299774431312089,406.83509413113234,22.313069480269142,1.1245723319218137,0.037454241122385816,0.83145,0.017751130431016126
3000,0.5,20,4,2.0,0.0,0.8633845599043832,0.0009306719915266946,0.9977707656707331,0.0010826826436478867,0.9954530039840614,0.0020410158454319278,0.8369897404835417,0.002080825451842734,33669.68396793742,984.5270506959694,0.2474255490683825,0.004031122976748614,0.9990333333333334,0.0004701623459816077
3000,1.0,20,4,3.0,0.0,0.8316372406083559,0.002595871159628649,0.96883334330094,0.006330026738001314,0.9565564352672619,0.006964817464718309,0.7067188648004296,0.0022088969993688365,8718.634826845682,182.48142196618673,0.44684646234072034,0.004312865701718191,0.9865999999999999,0.0028255310529162834
3000,1.5,20,4,6.0,0.0,0.8155146517568082,0.003233541834075776,0.8354008480980438,0.013367500240476577,0.8350684449239434,0.009259035165935556,0.4741817109340567,0.003588534340289692,2318.6841813797455,40.327911239516034,0.8690123838777823,0.008404829230980942,0.9232166666666666,0.0078100812045108
3000,2.0,20,4,8.0,0.0,0.8154428093787145,0.004074637285109386,0.6794086227475857,0.015871819309206097,0.7097814244728514,0.011479901982533278,0.3605687026192698,0.003738680946632283,1209.0554798371836,45.72495217360601,1.1448295405542857,0.014979123073995007,0.8340333333333334,0.009793720389327435
